Data Source	Cell Type	TF/DNase/Histone	Treatment	AUC
ENCODE	HepG2	CTCF	None	0.984068752
ENCODE	HepG2	EZH2	None	0.952970391
ENCODE	HepG2	ATF3	None	0.983840863
ENCODE	HepG2	BHLHE40	None	0.968259249
ENCODE	HepG2	CEBPB	None	0.975536955
ENCODE	HepG2	CEBPD	None	0.970669
ENCODE	HepG2	CTCF	None	0.987216067
ENCODE	HepG2	ELF1	None	0.964535431
ENCODE	HepG2	FOSL2	None	0.954805675
ENCODE	HepG2	FOXA1	None	0.943876842
ENCODE	HepG2	FOXA1	None	0.943391265
ENCODE	HepG2	FOXA2	None	0.94250105
ENCODE	HepG2	GABP	None	0.989009692
ENCODE	HepG2	HDAC2	None	0.936883372
ENCODE	HepG2	HNF4A	None	0.962192842
ENCODE	HepG2	HNF4G	None	0.953856154
ENCODE	HepG2	JunD	None	0.954413299
ENCODE	HepG2	MBD4	None	0.910186858
ENCODE	HepG2	MYBL2	None	0.908477203
ENCODE	HepG2	NFIC	None	0.908192967
ENCODE	HepG2	NRSF	None	0.984512733
ENCODE	HepG2	NRSF	None	0.954405856
ENCODE	HepG2	p300	None	0.933251689
ENCODE	HepG2	Pol2-4H8	None	0.913581283
ENCODE	HepG2	Pol2	None	0.950075132
ENCODE	HepG2	Rad21	None	0.97695565
ENCODE	HepG2	RXRA	None	0.941341522
ENCODE	HepG2	Sin3Ak-20	None	0.953309287
ENCODE	HepG2	SP1	None	0.940748752
ENCODE	HepG2	SP2	None	0.984856824
ENCODE	HepG2	SRF	None	0.863945284
ENCODE	HepG2	TAF1	None	0.986301908
ENCODE	HepG2	TCF12	None	0.976619988
ENCODE	HepG2	TEAD4	None	0.912274087
ENCODE	HepG2	USF1	None	0.981954733
ENCODE	HepG2	YY1	None	0.967512681
ENCODE	HepG2	ZBTB33	None	0.955733066
ENCODE	HepG2	ZBTB7A	None	0.965646133
ENCODE	HepG2	ARID3A	None	0.924259259
ENCODE	HepG2	BHLHE40	None	0.953077732
ENCODE	HepG2	BRCA1	None	0.988799361
ENCODE	HepG2	CEBPB	forskolin	0.972264344
ENCODE	HepG2	CEBPB	None	0.976886068
ENCODE	HepG2	CHD2	None	0.968810902
ENCODE	HepG2	c-Jun	None	0.971899802
ENCODE	HepG2	COREST	None	0.958667694
ENCODE	HepG2	ERRA	forskolin	0.975984278
ENCODE	HepG2	GRp20	forskolin	0.957398653
ENCODE	HepG2	HNF4A	forskolin	0.9662783
ENCODE	HepG2	HSF1	forskolin	0.921705205
ENCODE	HepG2	IRF3	None	0.96931176
ENCODE	HepG2	JunD	None	0.971430887
ENCODE	HepG2	MafF	None	0.975862258
ENCODE	HepG2	MafK	None	0.981731358
ENCODE	HepG2	MafK	None	0.979731708
ENCODE	HepG2	Max	None	0.975573273
ENCODE	HepG2	MAZ	None	0.97588873
ENCODE	HepG2	Mxi1	None	0.963727963
ENCODE	HepG2	Nrf1	None	0.994817117
ENCODE	HepG2	p300	None	0.947727256
ENCODE	HepG2	PGC1A	forskolin	0.928089534
ENCODE	HepG2	Pol2	forskolin	0.960035601
ENCODE	HepG2	Pol2	None	0.944019531
ENCODE	HepG2	Pol2(phosphoS2)	None	0.848350009
ENCODE	HepG2	Rad21	None	0.982409778
ENCODE	HepG2	RFX5	None	0.89936433
ENCODE	HepG2	SMC3	None	0.979764043
ENCODE	HepG2	SREBP1	None	0.983428563
ENCODE	HepG2	TBP	None	0.94871255
ENCODE	HepG2	TCF7L2	None	0.903350397
ENCODE	HepG2	TR4	None	0.964696398
ENCODE	HepG2	USF2	None	0.988653347
ENCODE	HepG2	ZNF274	None	0.596955528
ENCODE	HepG2	c-Myc	None	0.985772573
ENCODE	HepG2	CTCF	None	0.994016875
ENCODE	HepG2	Pol2	None	0.93926514
ENCODE	HepG2	CTCF	None	0.986700938
ENCODE	HepG2	DNase	None	0.919592109
